,State,acresBurnedPerMillionAcresState
0,Alabama,1.0
1,Alaska,1.0
2,Arizona,3.0
3,Arkansas,1.0
4,California,3.0
5,Colorado,3.0
6,Connecticut,1.0
7,Delaware,2.0
8,Florida,2.0
9,Georgia,1.0
10,Hawaii,1.0
11,Idaho,2.0
12,Illinois,1.0
13,Indiana,1.0
14,Iowa,1.0
15,Kansas,1.0
16,Kentucky,1.0
17,Louisiana,1.0
18,Maine,1.0
19,Maryland,1.0
20,Massachusetts,1.0
21,Michigan,1.0
22,Minnesota,1.0
23,Mississippi,1.0
24,Missouri,1.0
25,Montana,2.0
26,Nebraska,1.0
27,Nevada,2.0
28,New Hampshire,1.0
29,New Jersey,2.0
30,New Mexico,2.0
31,New York,1.0
32,North Carolina,1.0
33,North Dakota,1.0
34,Ohio,1.0
35,Oklahoma,2.0
36,Oregon,3.0
37,Pennsylvania,1.0
38,Rhode Island,1.0
39,South Carolina,1.0
40,South Dakota,1.0
41,Tennessee,1.0
42,Texas,2.0
43,Utah,2.0
44,Vermont,1.0
45,Virginia,1.0
46,Washington,3.0
47,West Virginia,1.0
48,Wisconsin,1.0
49,Wyoming,2.0
